,Name,User_name,Date,Content,Comments,Forward,Like,language,1,Restaurant
54,Laur en,@LaorenZa·2019年3月26日,2019-03-25,"W Bell (@ Bleecker Street Pizza - @bleeckerpizza in New York, NY) https://swarmapp.com/c/iNDAVrjbLLV",,,,en,,Bleecker Street Pizza New York
55,JoyLuv,@JoyLuv·2019年2月10日,2019-02-10,"Pizza Party w BB  (@ John's of Bleecker Street - @johnsbleecker in New York, NY)",,,1,en,,Bleecker Street Pizza New York
56,Super Nintendo Chalmers,@yo_mikey_·2019年2月10日,2019-02-09,I had it in my head that bleecker street was famous for pizza places in new york because of old sitcom 'two guys a girl and pizza place'But googling it it was set in boston on beacon street,1,,,en,,Bleecker Street Pizza New York
57,Lia Beltrami,@LiaBeltrami·2019年1月26日,2019-01-26,"After 26 years, same house, same window... New album albibelt #newyork #music #lightsofthedesert #lucideldeserto #film #greenwichvillage @ Bleecker Street Pizza https://instagram.com/p/BtGhH00jBd3/?utm_source=ig_twitter_share&igshid=1jj9v9yxp9sjb…",,,,en,,Bleecker Street Pizza New York
58,Gary Weiss,@gary_weiss·2019年1月23日,2019-01-23,"Next time you're in New York, stop by Bleecker Street Pizza some Friday or Saturday night and meet hero cop Ralph Friedman!",,2,4,en,,Bleecker Street Pizza New York
59,dandrapeau,@dandrapeau·2019年1月20日,2019-01-20,"Checking out an old school pizza place in the W Village for lunch. (@ John's of Bleecker Street - @johnsbleecker in New York, NY) https://swarmapp.com/c/2unajzkbnRj",,,,en,,Bleecker Street Pizza New York
60,Chef Peter DeRuvo,@chefpeterderuvo·2019年1月9日,2019-01-09,#pizza #delicious #newyork #west-village #get-some #chefpeterderuvo @ Bleecker Street Pizza https://instagram.com/p/BsZfzI8lVwaCOyhY0BXXZuM-MPmyhpIlHD1VwY0/?utm_source=ig_twitter_share&igshid=10n6yol2w57u…,,,,sv,,Bleecker Street Pizza New York
61,Kid Charlemagne,@Derek4475·2018年12月27日,2018-12-27,>New York Pizza<I took the advice of @HereBeBarr and chose Bleecker Street Pizza as my choice to break keto while visiting New York. This was an amazing suggestion. Thanks man! @… https://instagram.com/p/Br5bvcODkOZ/?utm_source=ig_twitter_share&igshid=crpy82nk6onx…,1,,1,en,,Bleecker Street Pizza New York
62,Ayse Karahasan,@aysekarahasan·2018年12月23日,2018-12-23,"Eat well ver. 1929 #pizza in old style. (@ John's of Bleecker Street - @johnsbleecker in New York, NY) https://swarmapp.com/c/aXSRU0Txs3z",1,,1,en,,Bleecker Street Pizza New York
63,vic,@broadcities·2018年12月2日,2018-12-02,Bleecker Street pizza is still the best in New York,,,2,en,,Bleecker Street Pizza New York
64,Stefanie Iris Weiss,@EcoSexuality·2018年11月15日,2018-11-15,Absolute travesty that Bleecker Street Pizza is not on this list. 10 of the Best Pizza Slices in N.Y.C. - The New York Times https://nytimes.com/2018/11/15/nyregion/best-pizza-slices-nyc.html…,,,,en,,Bleecker Street Pizza New York
65,XJ2 Crew,@CrewXj2·2018年11月4日,2018-11-04,John's Pizzeria of Bleecker Street is one of the few places that helped to make authentic New York Style Pizza famous. #FamilyTravel #USAtravel #NewYork #NewYorkCity #Manhattan #GreenwichVillage #BleeckerStreet #JohnsPizzeria,,,1,en,,Bleecker Street Pizza New York
66,The Color Wild,@TheColorWild·2018年10月24日,2018-10-24,"Wild Things, we’re in New York!  Come hang out at our first ever East Coast Meet Up TONIGHT at 6:30pm at Bleecker Street Pizza! We’re gonna take pics, share new music, and eat a ton of pizza!  Will we see you there? 69 7th Ave SNew York, NY  10014United States",9,8,34,en,,Bleecker Street Pizza New York
67,Moneyish,@Moneyish·2018年10月18日,2018-10-18,"The top-ranked pizzas in the U.S.:3. Modern Apizza in New Haven, Conn.2. Bleecker Street Pizza in New York CityAnd here's No. 1 ...",1,2,1,en,,Bleecker Street Pizza New York
68,Noahh,@Noah_Lancia·2018年10月17日,2018-10-17,as a avid pizza eater in new york as you can tell from all 295 pounds of me. I wouldnt say reginas is better than Bleecker street but reginas is some of the best pizza ive ever had and there are just differences in the two and thats all that should be said,,,5,en,,Bleecker Street Pizza New York
69,BleeckerStreetPizza,@BleeckerPizza·2018年8月18日,2018-08-18,"We are honored!  USA Today’s @10Best has named Bleecker Street Pizza one of the 10 Best pizzeria’s in New York State. Thank you to our Bleecker Street Family. It is because of all of you, we have received this recognition. Warmest Regards-Tony and Greg",2,,4,en,,Bleecker Street Pizza New York
70,𝓔𝓵𝓲𝓼𝓪 𝓙𝓸𝔂 • 樂 | 美金 ~ OTO,@justinsbabe5000·2018年8月16日,2018-08-16,John’s of Bleecker Street...278 Bleecker Street in Manhattan. Literally the best pizza in New York. That’s the one I always went to when I used to live in Queens. Now whenever I go visit my uncle in Queens I always have to go there.,,,,en,,Bleecker Street Pizza New York
